C	Tetujin Has 255 Hp	C0E287FF
C	Tetujin Has 30 Mp	C0E2891E
C	Gp Max	C0E28B00
C	Tetujin Has 20 Power	C0E28B14
C	Gp Max	C0E28B95
C	Gp Max	C0E28BFF
C	Tetujin Has 20 Speed	C0E28E14
C	Human Mage Has 50 Hp	C0E29932
C	Human Mage Has 100 Hp	C0E29964
C	Human Mage Has 200 Hp	C0E299C8
C	Human Mage Has 30 Mp	C0E29B1E
C	Human Mage Has 20 Power	C0E29D14
C	Human Mage Has 20 Speed	C0E2A014
C	Human Mage Starts With Petrified Staff	C0E2A78E
C	Human Mage Starts With Rod Of Tide	C0E2A78F
C	Demon Has 50 Hp	C0E2AB32
C	Demon Has 100 Hp	C0E2AB64
C	Demon Has 200 Hp	C0E2ABC8
C	Demon Starts With 255 Hp	C0E2ABFF
C	Demon Has 30 Mp	C0E2AD1E
C	Demon Starts With 255 Mp	C0E2ADFF
C	Demon Has 20 Power	C0E2AF14
C	Demon Starts With 255 Power	C0E2AFFF
C	Demon Has 20 Speed	C0E2B214
C	Demon Starts With 255 Speed	C0E2B2FF
C	Demon Starts With Sword Of Anger	C0E2B969
C	Demon Starts With Sword Of Despair	C0E2B96D
C	Demon Starts With Sword Of Fire	C0E2B96F
G	7th Saga, The (USA)
C	Enemy 1 automatically Dead	7E1E9F40
C	Enemy 2 automatically Dead	7E1F1F40
C	Enemy 3 automatically Dead	7E1F9F40
C	Lemele	7E50E001
C	Rablesk	7E50E102
C	Bonro	7E50E203
C	Zellis	7E50E304
C	Melenam	7E50E405
C	Eygus	7E50E506
C	Pell	7E50E607
C	Guntz	7E50E708
C	Patrof	7E50E809
C	Bone	7E50E90A
C	Dowaine	7E50EA0B
C	Belaine	7E50EB0C
C	Telaine	7E50EC0D
C	Luze	7E50ED0E
C	Pang	7E50EE0F
C	Padal	7E50EF10
C	Baran	7E50F011
C	Polasu	7E50F112
C	Tiffana	7E50F213
C	Bilthem	7E50F314
C	Pandam	7E50F415
C	Brush	7E50F516
C	Valenca	7E50F617
C	Bugask	7E50F718
C	Guanta	7E50F81A
C	Gorfun	7E50F91B
C	Pharano	7E50FA1C
C	Pasanda	7E50FB1D
C	Ligena	7E50FC1E
C	Guanas	7E50FD1F
C	Palsu	7E50FE20
C	Melenam	7E50FF21
C	AIRSHIP	7E510022
C	Start with 297 gold	4ABD-84AD+DFBD-87DD
C	Start with 62,708 gold	E0BD-84AD+DFBD-87DD
C	Start with 2000 gold	2DBD-84AD+D5BD-87DD
C	Human fighter has 50 HP	7417-87AD
C	Human fighter has 100 HP	1017-87AD
C	Human fighter has 200 HP	A617-87AD
C	Human fighter has 20 power	F010-8DAD
C	Human fighter has 30 MP	F310-8D0D
C	Human fighter has 20 speed	F010-8F6D
C	Human fighter starts with Sword of Anger	1B10-870D
C	Human fighter starts with Sword of Courage	1A10-870D
C	Human fighter starts with Sword of Fire	1E10-870D
C	Tetujin has 50 HP	7416-8FAD
C	Tetujin has 100 HP	1016-8FAD
C	Tetujin has 200 HP	A616-8FAD
C	Tetujin has 20 power	F016-84AD
C	Tetujin has 30 MP	F316-840D
C	Tetujin has 20 speed	F016-876D
C	Dwarf has 50 HP	7419-8D0D
C	Dwarf has 100 HP	1019-8D0D
C	Dwarf has 200 HP	A619-8D0D
C	Dwarf has 20 power	F019-8F0D
C	Dwarf has 30 MP	F319-8DAD
C	Dwarf has 20 speed	F019-84DD
C	Dwarf starts with Sword of Nature	1C19-87AD
C	Dwarf starts with Sword of Courage	1A19-87AD
C	Dwarf starts with Sword of Fire	1E19-87AD
C	Human mage has 50 HP	741B-840D
C	Human mage has 100 HP	101B-840D
C	Human mage has 200 HP	A61B-840D
C	Human mage has 20 power	F01B-870D
C	Human mage has 30 MP	F31B-84AD
C	Human mage has 20 speed	F01C-8DDD
C	Human mage starts with petrified staff	631C-8FAD
C	Human mage starts with Rod of Tide	6E1C-8FAD
C	Elf has 50 HP	7411-8DAD
C	Elf has 100 HP	1011-8DAD
C	Elf has 200 HP	A611-8DAD
C	Elf has 20 power	F011-8FAD
C	Elf has 30 MP	F311-8F0D
C	Elf has 20 speed	F011-846D
C	Elf starts with petrified staff	6315-8D0D
C	Elf starts with Staff of Brilliance	BF15-8D0D
C	Demon has 50 HP	741C-84AD
C	Demon has 100 HP	101C-84AD
C	Demon has 200 HP	A61C-84AD
C	Demon has 20 power	F01C-87AD
C	Demon has 30 MP	F31C-870D
C	Demon has 20 speed	F018-8D6D
C	Demon starts with Sword of Anger	1B18-840D
C	Demon starts with Sword of Despair	1218-840D
C	Demon starts with Sword of Fire	1E18-840D
C	Alien has 50 HP	7415-8F0D
C	Alien has 100 HP	1015-8F0D
C	Alien has 200 HP	A615-8F0D
C	Alien has 20 power	F015-840D
C	Alien has 30 MP	F315-8FAD
C	Alien has 20 speed	F015-87DD
C	Enemies Aren't Generated	18F6-EDDF
C	Sell An Item For Maximum Gold	6D87-540D
C	Use An Item For This Effect	CBBD-77FF+FDBD-779F
C	Get 999 Max HP When You Use A 'V Seed'	DDC1-7FBD
C	Get 999 Max MP When You Use An 'M Seed'	DDC2-7F2D
C	Get 999 Power When You Use A 'P Seed'	DDC0-54FD
C	Get 999 Guard When You Use A 'Pr Seed'	DDC8-549D
C	Get 255 Magic When You Use An 'I Seed'	DDC4-8FBD
C	Get 255 Speed When You Use An 'A Seed'	DDCB-8DBD
C	Start With 297 Gold	4ABD-84AD+DFBD-87DD
C	Start With 62,708 Gold	E0BD-84AD+DFBD-87DD
C	Start With 2000 Gold	2DBD-84AD+D5BD-87DD
C	Elf Starts With 999 HP	E111-8FDD+F511-8DAD
C	Elf Starts With 294 HP	EE11-8FDD
C	Elf Starts With 255 HP	EE11-8DAD
C	Elf Starts With 150 HP	B111-8DAD
C	Elf Starts With   0 HP	DD11-8DAD
C	Elf Starts With 006 HP (The Equivalent Of 1006)	AE11-8FDD
C	Elf Starts With 999 MP	E111-8F6D+F511-8F0D
C	Elf Starts With 296 MP	EE11-8F6D
C	Elf Starts With 255 MP	EE11-8F0D
C	Elf Starts With 200 MP	A611-8F0D
C	Elf Starts With 150 MP	B111-8F0D
C	Elf Starts With 100 MP	1011-8F0D
C	Elf Starts With  50 MP	7411-8F0D
C	Elf Starts With   0 MP	DD11-8F0D
C	Elf Starts With 008 MP (The Equivalent Of 1008)	AE11-8F6D
C	Elf Starts With 255 Power	EE11-8FAD
C	Elf Starts With 200 Power	A611-8FAD
C	Elf Starts With 150 Power	B111-8FAD
C	Elf Starts With 100 Power	1011-8FAD
C	Elf Starts With  50 Power	7411-8FAD
C	Elf Starts With   0 Power	DD11-8FAD
C	Elf Starts With 255 Speed	EE11-846D
C	Elf Starts With 200 Speed	A611-846D
C	Elf Starts With 150 Speed	B111-846D
C	Elf Starts With 100 Speed	1011-846D
C	Elf Starts With  50 Speed	7411-846D
C	Elf Starts With   0 Speed	DD11-846D
C	Elf Starts With 255 Guard	EE11-84DD
C	Elf Starts With 200 Guard	A611-84DD
C	Elf Starts With 150 Guard	B111-84DD
C	Elf Starts With 100 Guard	1011-84DD
C	Elf Starts With  50 Guard	7411-84DD
C	Elf Starts With   0 Guard	DD11-84DD
C	Elf Starts With 255 Magic	EE11-840D
C	Elf Starts With 200 Magic	A611-840D
C	Elf Starts With 150 Magic	B111-840D
C	Elf Starts With 100 Magic	1011-840D
C	Elf Starts With  50 Magic	7411-840D
C	Elf Starts With   0 Magic	DD11-840D
C	Elf Starts With 255 EXP	EE15-8FDD
C	Elf Starts With 200 EXP	A615-8FDD
C	Elf Starts With 150 EXP	B115-8FDD
C	Elf Starts With 100 EXP	1015-8FDD
C	Elf Starts With  50 EXP	7415-8FDD
C	Elf Starts With   0 EXP	DD15-8FDD
C	Elf Gains 255 HP After EACH Level Up	EE11-84AD
C	Elf Gains 100 HP After EACH Level Up	1011-84AD
C	Elf Gains 255 MP After EACH Level Up	EE11-87DD
C	Elf Gains 100 MP After EACH Level Up	1011-87DD
C	Elf Gains 255 Power After EACH Level Up	EE11-870D
C	Elf Gains 100 Power After EACH Level Up	1011-870D
C	Elf Gains 255 Guard After EACH Level Up	EE11-876D
C	Elf Gains 100 Guard After EACH Level Up	1011-876D
C	Elf Gains 255 Magic After EACH Level Up	EE11-87AD
C	Elf Gains 100 Magic After EACH Level Up	1011-87AD
C	Elf Gains 255 Speed After EACH Level Up	EE15-8DDD
C	Elf Gains 100 Speed After EACH Level Up	1015-8DDD
C	Human Mage Starts With 999 HP	E11B-846D+F51B-840D
C	Human Mage Starts With 298 HP	EE1B-846D
C	Human Mage Starts With 255 HP	EE1B-840D
C	Human Mage Starts With 150 HP	B11B-840D
C	Human Mage Starts With   0 HP	DD1B-840D
C	Human Mage Starts With 007 HP (The Equivalent Of 1007)	AE1B-846D
C	Human Mage Starts With 999 MP	E11B-87DD+F51B-84AD
C	Human Mage Starts With 290 MP	EE1B-87DD
C	Human Mage Starts With 255 MP	EE1B-84AD
C	Human Mage Starts With 200 MP	A61B-84AD
C	Human Mage Starts With 150 MP	B11B-84AD
C	Human Mage Starts With 100 MP	101B-84AD
C	Human Mage Starts With  50 MP	741B-84AD
C	Human Mage Starts With   0 MP	DD1B-84AD
C	Human Mage Starts With 002 MP (The Equivalent Of 1002)	AE1B-87DD
C	Human Mage Starts With 255 Speed	EE1C-8DDD
C	Human Mage Starts With 200 Speed	A61C-8DDD
C	Human Mage Starts With 150 Speed	B11C-8DDD
C	Human Mage Starts With 100 Speed	101C-8DDD
C	Human Mage Starts With  50 Speed	741C-8DDD
C	Human Mage Starts With   0 Speed	DD1C-8DDD
C	Human Mage Starts With 255 Guard	EE1B-876D
C	Human Mage Starts With 200 Guard	A61B-876D
C	Human Mage Starts With 150 Guard	B11B-876D
C	Human Mage Starts With 100 Guard	101B-876D
C	Human Mage Starts With  50 Guard	741B-876D
C	Human Mage Starts With   0 Guard	DD1B-876D
C	Human Mage Starts With 255 Magic	EE1B-87AD
C	Human Mage Starts With 200 Magic	A61B-87AD
C	Human Mage Starts With 150 Magic	B11B-87AD
C	Human Mage Starts With 100 Magic	101B-87AD
C	Human Mage Starts With  50 Magic	741B-87AD
C	Human Mage Starts With   0 Magic	DD1B-87AD
C	Human Mage Starts With 255 EXP	EE1C-846D
C	Human Mage Starts With 200 EXP	A61C-846D
C	Human Mage Starts With 150 EXP	B11C-846D
C	Human Mage Starts With 100 EXP	101C-846D
C	Human Mage Starts With  50 EXP	741C-846D
C	Human Mage Starts With   0 EXP	DD1C-846D
C	Human Mage Gains 255 HP After EACH Level Up	EE1C-8D0D
C	Human Mage Gains 100 HP After EACH Level Up	101C-8D0D
C	Human Mage Gains 255 MP After EACH Level Up	EE1C-8D6D
C	Human Mage Gains 100 MP After EACH Level Up	101C-8D6D
C	Human Mage Gains 255 Power After EACH Level Up	EE1C-8DAD
C	Human Mage Gains 100 Power After EACH Level Up	101C-8DAD
C	Human Mage Gains 255 Guard After EACH Level Up	EE1C-8FDD
C	Human Mage Gains 100 Guard After EACH Level Up	101C-8FDD
C	Human Mage Gains 255 Magic After EACH Level Up	EE1C-8F0D
C	Human Mage Gains 100 Magic After EACH Level Up	101C-8F0D
C	Human Mage Gains 255 Speed After EACH Level Up	EE1C-8F6D
C	Human Mage Gains 100 Speed After EACH Level Up	101C-8F6D
C	Dwarf Starts With 999 HP	E119-8D6D+F519-8D0D
C	Dwarf Starts With 295 HP	EE19-8D6D
C	Dwarf Starts With 255 HP	EE19-8D0D
C	Dwarf Starts With 150 HP	B119-8D0D
C	Dwarf Starts With   0 HP	DD19-8D0D
C	Dwarf Starts With 010 HP (The Equivalent Of 1010)	AE19-8D6D
C	Dwarf Starts With 999 MP	E119-8FDD+F519-8DAD
C	Dwarf Starts With 283 MP	EE19-8FDD
C	Dwarf Starts With 255 MP	EE19-8DAD
C	Dwarf Starts With 200 MP	A619-8DAD
C	Dwarf Starts With 150 MP	B119-8DAD
C	Dwarf Starts With 100 MP	1019-8DAD
C	Dwarf Starts With  50 MP	7419-8DAD
C	Dwarf Starts With   0 MP	DD19-8DAD
C	Dwarf Starts With 995 MP	AE19-8FDD
C	Dwarf Starts With 255 Power	EE19-8F0D
C	Dwarf Starts With 200 Power	A619-8F0D
C	Dwarf Starts With 150 Power	B119-8F0D
C	Dwarf Starts With 100 Power	1019-8F0D
C	Dwarf Starts With  50 Power	7419-8F0D
C	Dwarf Starts With   0 Power	DD19-8F0D
C	Dwarf Starts With 255 Speed	EE19-84DD
C	Dwarf Starts With 200 Speed	A619-84DD
C	Dwarf Starts With 150 Speed	B119-84DD
C	Dwarf Starts With 100 Speed	1019-84DD
C	Dwarf Starts With  50 Speed	7419-84DD
C	Dwarf Starts With   0 Speed	DD19-84DD
C	Dwarf Starts With 255 Guard	EE19-8F6D
C	Dwarf Starts With 200 Guard	A619-8F6D
C	Dwarf Starts With 150 Guard	B119-8F6D
C	Dwarf Starts With 100 Guard	1019-8F6D
C	Dwarf Starts With  50 Guard	7419-8F6D
C	Dwarf Starts With   0 Guard	DD19-8F6D
C	Dwarf Starts With 255 Magic	EE19-8FAD
C	Dwarf Starts With 200 Magic	A619-8FAD
C	Dwarf Starts With 150 Magic	B119-8FAD
C	Dwarf Starts With 100 Magic	1019-8FAD
C	Dwarf Starts With  50 Magic	7419-8FAD
C	Dwarf Starts With   0 Magic	DD19-8FAD
C	Dwarf Starts With 255 EXP	EE11-8D6D
C	Dwarf Starts With 200 EXP	A611-8D6D
C	Dwarf Starts With 150 EXP	B111-8D6D
C	Dwarf Starts With 100 EXP	1011-8D6D
C	Dwarf Starts With  50 EXP	7411-8D6D
C	Dwarf Starts With   0 EXP	DD11-8D6D
C	Dwarf Gains 255 HP After EACH Level Up	EE19-840D
C	Dwarf Gains 100 HP After EACH Level Up	1019-840D
C	Dwarf Gains 255 MP After EACH Level Up	EE19-846D
C	Dwarf Gains 100 MP After EACH Level Up	1019-846D
C	Dwarf Gains 255 Power After EACH Level Up	EE19-84AD
C	Dwarf Gains 100 Power After EACH Level Up	1019-84AD
C	Dwarf Gains 255 Guard After EACH Level Up	EE19-87DD
C	Dwarf Gains 100 Guard After EACH Level Up	1019-87DD
C	Dwarf Gains 255 Magic After EACH Level Up	EE19-870D
C	Dwarf Gains 100 Magic After EACH Level Up	1019-870D
C	Dwarf Gains 255 Speed After EACH Level Up	EE19-876D
C	Dwarf Gains 100 Speed After EACH Level Up	1019-876D
C	Demon Starts With 999 HP	E11C-87DD+F51C-84AD
C	Demon Starts With 296 HP	EE1C-87DD
C	Demon Starts With 255 HP	EE1C-84AD
C	Demon Starts With 150 HP	B11C-84AD
C	Demon Starts With   0 HP	DD1C-84AD
C	Demon Starts With 008 HP (The Equivalent Of 1008)	AE1C-87DD
C	Demon Starts With 999 MP	E11C-876D+F51C-870D
C	Demon Starts With 284 MP	EE1C-876D
C	Demon Starts With 255 MP	EE1C-870D
C	Demon Starts With 200 MP	A61C-870D
C	Demon Starts With 150 MP	B11C-870D
C	Demon Starts With 100 MP	101C-870D
C	Demon Starts With  50 MP	741C-870D
C	Demon Starts With   0 MP	DD1C-870D
C	Demon Starts With 002 MP (The Equivalent Of 1002)	AE1C-876D
C	Demon Starts With 255 Power	EE1C-87AD
C	Demon Starts With 200 Power	A61C-87AD
C	Demon Starts With 150 Power	B11C-87AD
C	Demon Starts With 100 Power	101C-87AD
C	Demon Starts With  50 Power	741C-87AD
C	Demon Starts With   0 Power	DD1C-87AD
C	Demon Starts With 255 Speed	EE18-8D6D
C	Demon Starts With 200 Speed	A618-8D6D
C	Demon Starts With 150 Speed	B118-8D6D
C	Demon Starts With 100 Speed	1018-8D6D
C	Demon Starts With  50 Speed	7418-8D6D
C	Demon Starts With   0 Speed	DD18-8D6D
C	Demon Starts With 255 Guard	EE18-8DDD
C	Demon Starts With 200 Guard	A618-8DDD
C	Demon Starts With 150 Guard	B118-8DDD
C	Demon Starts With 100 Guard	1018-8DDD
C	Demon Starts With  50 Guard	7418-8DDD
C	Demon Starts With   0 Guard	DD18-8DDD
C	Demon Starts With 255 Magic	EE18-8D0D
C	Demon Starts With 200 Magic	A618-8D0D
C	Demon Starts With 150 Magic	B118-8D0D
C	Demon Starts With 100 Magic	1018-8D0D
C	Demon Starts With  50 Magic	7418-8D0D
C	Demon Starts With   0 Magic	DD18-8D0D
C	Demon Starts With 255 EXP	EE18-87DD
C	Demon Starts With 200 EXP	A618-87DD
C	Demon Starts With 150 EXP	B118-87DD
C	Demon Starts With 100 EXP	1018-87DD
C	Demon Starts With  50 EXP	7418-87DD
C	Demon Starts With   0 EXP	DD18-87DD
C	Demon Gains 255 HP After EACH Level Up	EE18-8DAD
C	Demon Gains 100 HP After EACH Level Up	1018-8DAD
C	Demon Gains 255 MP After EACH Level Up	EE18-8FDD
C	Demon Gains 100 MP After EACH Level Up	1018-8FDD
C	Demon Gains 255 Power After EACH Level Up	EE18-8F0D
C	Demon Gains 100 Power After EACH Level Up	1018-8F0D
C	Demon Gains 255 Guard After EACH Level Up	EE18-8F6D
C	Demon Gains 100 Guard After EACH Level Up	1018-8F6D
C	Demon Gains 255 Magic After EACH Level Up	EE18-8FAD
C	Demon Gains 100 Magic After EACH Level Up	1018-8FAD
C	Demon Gains 255 Speed After EACH Level Up	EE18-84DD
C	Demon Gains 100 Speed After EACH Level Up	1018-84DD
C	Alien Starts With 999 HP	E115-8F6D+F515-8F0D
C	Alien Starts With 300 HP	EE15-8F6D
C	Alien Starts With 255 HP	EE15-8F0D
C	Alien Starts With 150 HP	B115-8F0D
C	Alien Starts With   0 HP	DD15-8F0D
C	Alien Starts With 012 HP (The Equivalent Of 1012)	AE15-8F6D
C	Alien Starts With 999 MP	E115-84DD+F515-8FAD
C	Alien Starts With 282 MP	EE15-84DD
C	Alien Starts With 255 MP	EE15-8FAD
C	Alien Starts With 200 MP	A615-8FAD
C	Alien Starts With 150 MP	B115-8FAD
C	Alien Starts With 100 MP	1015-8FAD
C	Alien Starts With  50 MP	7415-8FAD
C	Alien Starts With   0 MP	DD15-8FAD
C	Alien Starts With 994 MP	AE15-84DD
C	Alien Starts With 255 Power	EE15-840D
C	Alien Starts With 200 Power	A615-840D
C	Alien Starts With 150 Power	B115-840D
C	Alien Starts With 100 Power	1015-840D
C	Alien Starts With  50 Power	7415-840D
C	Alien Starts With   0 Power	DD15-840D
C	Alien Starts With 255 Speed	EE15-87DD
C	Alien Starts With 200 Speed	A615-87DD
C	Alien Starts With 150 Speed	B115-87DD
C	Alien Starts With 100 Speed	1015-87DD
C	Alien Starts With  50 Speed	7415-87DD
C	Alien Starts With   0 Speed	DD15-87DD
C	Alien Starts With 255 Guard	EE15-846D
C	Alien Starts With 200 Guard	A615-846D
C	Alien Starts With 150 Guard	B115-846D
C	Alien Starts With 100 Guard	1015-846D
C	Alien Starts With  50 Guard	7415-846D
C	Alien Starts With   0 Guard	DD15-846D
C	Alien Starts With 255 Magic	EE15-84AD
C	Alien Starts With 200 Magic	A615-84AD
C	Alien Starts With 150 Magic	B115-84AD
C	Alien Starts With 100 Magic	1015-84AD
C	Alien Starts With  50 Magic	7415-84AD
C	Alien Starts With   0 Magic	DD15-84AD
C	Alien Starts With 255 EXP	EE16-8F6D
C	Alien Starts With 200 EXP	A616-8F6D
C	Alien Starts With 150 EXP	B116-8F6D
C	Alien Starts With 100 EXP	1016-8F6D
C	Alien Starts With  50 EXP	7416-8F6D
C	Alien Starts With   0 EXP	DD16-8F6D
C	Alien Gains 255 HP After EACH Level Up	EE15-870D
C	Alien Gains 100 HP After EACH Level Up	1015-870D
C	Alien Gains 255 MP After EACH Level Up	EE15-876D
C	Alien Gains 100 MP After EACH Level Up	1015-876D
C	Alien Gains 255 Power After EACH Level Up	EE15-87AD
C	Alien Gains 100 Power After EACH Level Up	1015-87AD
C	Alien Gains 255 Guard After EACH Level Up	EE16-8DDD
C	Alien Gains 100 Guard After EACH Level Up	1016-8DDD
C	Alien Gains 255 Magic After EACH Level Up	EE16-8D0D
C	Alien Gains 100 Magic After EACH Level Up	1016-8D0D
C	Alien Gains 255 Speed After EACH Level Up	EE16-8D6D
C	Alien Gains 100 Speed After EACH Level Up	1016-8D6D
C	Human Fighter Starts With 999 HP	E110-8DDD+F517-87AD
C	Human Fighter Starts With 296 HP	EE10-8DDD
C	Human Fighter Starts With 255 HP	EE17-87AD
C	Human Fighter Starts With 150 HP	B117-87AD
C	Human Fighter Starts With   0 HP	DD17-87AD
C	Human Fighter Starts With 999 MP	E110-8D6D+F510-8D0D
C	Human Fighter Starts With 284 MP	EE10-8D6D
C	Human Fighter Starts With 255 MP	EE10-8D0D
C	Human Fighter Starts With 200 MP	A610-8D0D
C	Human Fighter Starts With 150 MP	B110-8D0D
C	Human Fighter Starts With 100 MP	1010-8D0D
C	Human Fighter Starts With  50 MP	7410-8D0D
C	Human Fighter Starts With   0 MP	DD10-8D0D
C	Human Fighter Starts With 255 Power	EE10-8DAD
C	Human Fighter Starts With 200 Power	A610-8DAD
C	Human Fighter Starts With 150 Power	B110-8DAD
C	Human Fighter Starts With 100 Power	1010-8DAD
C	Human Fighter Starts With  50 Power	7410-8DAD
C	Human Fighter Starts With   0 Power	DD10-8DAD
C	Human Fighter Starts With 255 Speed	EE10-8F6D
C	Human Fighter Starts With 200 Speed	A610-8F6D
C	Human Fighter Starts With 150 Speed	B110-8F6D
C	Human Fighter Starts With 100 Speed	1010-8F6D
C	Human Fighter Starts With  50 Speed	7410-8F6D
